e140306_0088.fits.gz 2014-03-06 DomeFlat DmFlat 03:52:00.00 +45:00:00.0 150.0 yes 
e140306_0089.fits.gz 2014-03-06 DomeFlat DmFlat 03:52:00.00 +45:00:00.0 150.0 yes 
e140306_0090.fits.gz 2014-03-06 Bias Bias 03:52:00.00 +45:00:00.0 0.0 yes 
e140306_0091.fits.gz 2014-03-06 Bias Bias 03:52:00.00 +45:00:00.0 0.0 yes 
e140306_0092.fits.gz 2014-03-06 Bias Bias 03:52:00.00 +45:00:00.0 0.0 yes 
e140306_0093.fits.gz 2014-03-06 Bias Bias 03:52:00.00 +45:00:00.0 0.0 yes 
e140306_0094.fits.gz 2014-03-06 Bias Bias 03:52:00.00 +45:00:00.0 0.0 yes 
e140306_0095.fits.gz 2014-03-06 Bias Bias 03:52:00.00 +45:00:00.0 0.0 yes 
e140306_0096.fits.gz 2014-03-06 Bias Bias 03:52:00.00 +45:00:00.0 0.0 yes 
e140306_0097.fits.gz 2014-03-06 Bias Bias 03:52:00.00 +45:00:00.0 0.0 yes 
e140306_0098.fits.gz 2014-03-06 Bias Bias 03:52:00.00 +45:00:00.0 0.0 yes 
e140306_0099.fits.gz 2014-03-06 Bias Bias 03:52:00.00 +45:00:00.0 0.0 yes
placeholder_________ fakedate_  fake fake fake_ra____ fake_dec___ exp no 
e140307_0001.fits.gz 2014-03-07 Bias Bias 03:52:00.00 +45:00:00.0 1.0 yes 
e140307_0002.fits.gz 2014-03-07 HgNeXeCuAr Line 03:52:00.00 +45:00:00.0 600.0 yes 
e140307_0003.fits.gz 2014-03-07 HgNeXeCuAr Line 03:52:00.00 +45:00:00.0 600.0 yes 
e140307_0004.fits.gz 2014-03-07 HgNeXeCuAr Line 03:52:00.00 +45:00:00.0 600.0 yes 
e140307_0005.fits.gz 2014-03-07 DomeFlat DmFlat 03:52:00.00 +45:00:00.0 200.0 yes 
e140307_0006.fits.gz 2014-03-07 DomeFlat DmFlat 03:52:00.00 +45:00:00.0 200.0 yes 
e140307_0007.fits.gz 2014-03-07 DomeFlat DmFlat 03:52:00.00 +45:00:00.0 200.0 yes 
e140307_0008.fits.gz 2014-03-07 DomeFlat DmFlat 03:52:00.00 +45:00:00.0 200.0 yes 
e140307_0009.fits.gz 2014-03-07 DomeFlat DmFlat 03:52:00.00 +45:00:00.0 200.0 yes 
e140307_0010.fits.gz 2014-03-07 DomeFlat DmFlat 03:52:00.00 +45:00:00.0 200.0 yes 
e140307_0011.fits.gz 2014-03-07 PinholeFl DmFlat 03:52:00.00 +45:00:00.0 500.0 yes 
e140307_0012.fits.gz 2014-03-07 Bias Bias 03:52:00.00 +45:00:00.0 0.0 yes 
e140307_0013.fits.gz 2014-03-07 Bias Bias 03:52:00.00 +45:00:00.0 0.0 yes 
e140307_0014.fits.gz 2014-03-07 Bias Bias 03:52:00.00 +45:00:00.0 0.0 yes 
e140307_0015.fits.gz 2014-03-07 Bias Bias 03:52:00.00 +45:00:00.0 0.0 yes 
e140307_0016.fits.gz 2014-03-07 Bias Bias 03:52:00.00 +45:00:00.0 0.0 yes 
e140307_0017.fits.gz 2014-03-07 DomeFlat DmFlat 03:52:00.00 +45:00:00.0 150.0 yes 
e140307_0018.fits.gz 2014-03-07 DomeFlat DmFlat 03:52:00.00 +45:00:00.0 150.0 yes 
e140307_0019.fits.gz 2014-03-07 DomeFlat DmFlat 03:52:00.00 +45:00:00.0 150.0 yes 
e140307_0020.fits.gz 2014-03-07 DomeFlat DmFlat 03:52:00.00 +45:00:00.0 150.0 yes 
e140307_0021.fits.gz 2014-03-07 DomeFlat DmFlat 03:52:00.00 +45:00:00.0 150.0 yes 
e140307_0022.fits.gz 2014-03-07 PinholeFl DmFlat 03:52:00.00 +45:00:00.0 500.0 yes 
e140307_0023.fits.gz 2014-03-07 Bias Bias 03:52:00.00 +45:00:00.0 0.0 yes 
e140307_0024.fits.gz 2014-03-07 Bias Bias 03:52:00.00 +45:00:00.0 0.0 yes 
e140307_0025.fits.gz 2014-03-07 Bias Bias 03:52:00.00 +45:00:00.0 0.0 yes 
e140307_0026.fits.gz 2014-03-07 Bias Bias 03:52:00.00 +45:00:00.0 0.0 yes 
e140307_0027.fits.gz 2014-03-07 Bias Bias 03:52:00.00 +45:00:00.0 0.0 yes 
e140307_0028.fits.gz 2014-03-07 HgNeLamp Line 03:52:00.00 +45:00:00.0 8.0 yes 
e140307_0029.fits.gz 2014-03-07 HgNeLamp Line 03:52:00.00 +45:00:00.0 8.0 yes 
e140307_0030.fits.gz 2014-03-07 HgNeLamp Line 03:52:00.00 +45:00:00.0 8.0 yes 
